,0,1,2,3,4,5,6,7,8
421,422,61.0,-47.0,-0.00158914,0.00040011,-0.00114626,0.0,0.0,0.0
422,423,61.0,-45.0,-0.00161338,0.00045367,-0.00099998,0.0,0.0,0.0
423,424,61.0,-43.0,-0.00162027,0.00048765,-0.00086527,0.0,0.0,0.0
460,461,63.0,-49.0,-0.00123081,6.62e-05,-0.00136484,0.0,0.0,0.0
461,462,63.0,-47.0,-0.00131806,0.00017431,-0.00123944,0.0,0.0,0.0
462,463,63.0,-45.0,-0.00138289,0.00025921,-0.00111548,0.0,0.0,0.0
463,464,63.0,-43.0,-0.00142866,0.00032392,-0.00099542,0.0,0.0,0.0
499,500,65.0,-51.0,-0.00080848,-0.00030689,-0.00141924,0.0,0.0,0.0
500,501,65.0,-49.0,-0.00094167,-0.0001622,-0.00133893,0.0,0.0,0.0
501,502,65.0,-47.0,-0.00105352,-3.843e-05,-0.00124932,0.0,0.0,0.0
502,503,65.0,-45.0,-0.00114556,6.553e-05,-0.00115413,0.0,0.0,0.0
503,504,65.0,-43.0,-0.00121963,0.00015117,-0.0010563,0.0,0.0,0.0
504,505,65.0,-41.0,-0.00127768,0.00022013,-0.00095811,0.0,0.0,0.0
538,539,67.0,-53.0,-0.00040281,-0.00064093,-0.00131089,0.0,0.0,0.0
539,540,67.0,-51.0,-0.00055519,-0.00048622,-0.00128641,0.0,0.0,0.0
540,541,67.0,-49.0,-0.0006925,-0.00034534,-0.00124493,0.0,0.0,0.0
541,542,67.0,-47.0,-0.00081418,-0.00021924,-0.0011901,0.0,0.0,0.0
542,543,67.0,-45.0,-0.00092029,-0.00010822,-0.00112517,0.0,0.0,0.0
543,544,67.0,-43.0,-0.00101132,-1.213e-05,-0.00105296,0.0,0.0,0.0
544,545,67.0,-41.0,-0.00108807,6.956e-05,-0.00097585,0.0,0.0,0.0
545,546,67.0,-39.0,-0.0011515,0.00013756,-0.0008958,0.0,0.0,0.0
546,547,67.0,-37.0,-0.00120265,0.00019272,-0.00081441,0.0,0.0,0.0
547,548,67.0,-35.0,-0.00124258,0.00023588,-0.00073291,0.0,0.0,0.0
579,580,69.0,-51.0,-0.00036075,-0.00061194,-0.00111813,0.0,0.0,0.0
580,581,69.0,-49.0,-0.00049059,-0.00048408,-0.0011081,0.0,0.0,0.0
581,582,69.0,-47.0,-0.00061042,-0.00036526,-0.00108335,0.0,0.0,0.0
582,583,69.0,-45.0,-0.00071936,-0.00025668,-0.00104636,0.0,0.0,0.0
583,584,69.0,-43.0,-0.00081692,-0.00015905,-0.00099943,0.0,0.0,0.0
584,585,69.0,-41.0,-0.00090298,-7.273e-05,-0.0009447,0.0,0.0,0.0
585,586,69.0,-39.0,-0.0009777,2.19e-06,-0.00088406,0.0,0.0,0.0
586,587,69.0,-37.0,-0.00104137,6.584e-05,-0.00081916,0.0,0.0,0.0
587,588,69.0,-35.0,-0.00109446,0.0001185,-0.00075145,0.0,0.0,0.0
588,589,69.0,-33.0,-0.00113745,0.0001605,-0.00068215,0.0,0.0,0.0
589,590,69.0,-31.0,-0.00117088,0.00019222,-0.00061234,0.0,0.0,0.0
